Date,IEFA,IEMG,IJH,IJR,IVV,IWF,IWM,QQQ,RSP,SCHD,SPY,VEA,VGT,VIG,VO,VOO,VTI,VTV,VUG,VWO,VXUS,XLE,XLF,XLG,XLK
2015-07-28,44.68067932128906,34.49415969848633,25.541568756103516,49.94684600830078,178.349609375,92.4459228515625,107.24349975585938,103.31814575195312,67.94284057617188,10.960177421569824,177.51380920410156,30.060606002807617,97.70594024658203,65.98350524902344,109.10930633544922,162.12644958496094,91.83849334716797,65.4889144897461,100.67217254638672,28.540910720825195,37.36579513549805,47.72824478149414,16.93043327331543,12.692201614379883,37.72356414794922
2015-07-29,44.81740951538086,34.819068908691406,25.831890106201172,50.21561813354492,179.54383850097656,92.92964935302734,107.54336547851562,103.70861053466797,68.51295471191406,11.039992332458496,178.73495483398438,30.166015625,98.22021484375,66.63077545166016,110.0701904296875,163.2754364013672,92.4670639038086,66.03633880615234,101.21247100830078,28.804540634155273,37.508724212646484,48.37841033935547,17.099462509155273,12.77576732635498,37.97292709350586
2015-07-30,44.76423645019531,34.470951080322266,25.892379760742188,50.42367935180664,179.60313415527344,93.05744171142578,107.8520736694336,104.20137023925781,68.54696655273438,11.031437873840332,178.77737426757812,30.150959014892578,98.45480346679688,66.63077545166016,110.36186981201172,163.30081176757812,92.54351043701172,66.067626953125,101.30404663085938,28.62376594543457,37.448543548583984,48.03980255126953,17.099462509155273,12.767939567565918,38.04417037963867
2015-07-31,45.00730895996094,34.72623825073242,25.923480987548828,50.675113677978516,179.34902954101562,93.1213150024414,108.44294738769531,104.08049011230469,68.55550384521484,10.991535186767578,178.5059814453125,30.294034957885742,98.02173614501953,66.62248229980469,110.60208892822266,163.02197265625,92.45006561279297,65.84864044189453,101.23995971679688,28.86481285095215,37.65166473388672,46.989986419677734,17.045368194580078,12.725282669067383,37.91949462890625
2015-08-03,44.98451614379883,34.18471908569336,25.843994140625,50.40201187133789,178.7392578125,92.92964935302734,107.90494537353516,103.75509643554688,68.29170227050781,10.95447826385498,177.9038543701172,30.203672409057617,97.43524169921875,66.51459503173828,110.08736419677734,162.51510620117188,92.11880493164062,65.63748931884766,100.89193725585938,28.390254974365234,37.448543548583984,46.00115966796875,17.025094985961914,12.678272247314453,37.71467208862305
2015-08-04,44.93135070800781,34.30850601196289,25.830162048339844,50.397674560546875,178.3666229248047,92.80188751220703,107.64920806884766,103.55985260009766,68.21512603759766,10.951626777648926,177.55621337890625,30.233793258666992,96.83072662353516,66.48968505859375,110.04446411132812,162.1940460205078,91.96591186523438,65.50453186035156,100.70880889892578,28.48064613342285,37.47111129760742,45.84539031982422,16.998044967651367,12.624300003051758,37.49202346801758
2015-08-05,45.20481491088867,34.370384216308594,25.97014617919922,50.6014289855957,179.03567504882812,93.2764892578125,107.89612579345703,104.35940551757812,68.4533920288086,11.002934455871582,178.14132690429688,30.39192771911621,97.7780990600586,66.95442199707031,110.39618682861328,162.7601318359375,92.27169799804688,65.76264953613281,101.04764556884766,28.510772705078125,37.689273834228516,45.499977111816406,17.065656661987305,12.682624816894531,37.85716247558594
2015-08-06,45.00730895996094,34.10736846923828,25.72475242614746,50.17225646972656,177.59584045410156,92.01697540283203,106.44096374511719,102.68592834472656,67.99390411376953,10.93737506866455,176.6828155517578,30.25638771057129,96.75855255126953,66.36521911621094,109.41816711425781,161.51808166503906,91.5157241821289,65.4889144897461,99.82962799072266,28.307388305664062,37.493682861328125,46.22467041015625,17.00480842590332,12.542472839355469,37.48311996459961
2015-08-07,44.92375564575195,34.099639892578125,25.684999465942383,49.91651153564453,177.16395568847656,91.90745544433594,105.7265853881836,102.55575561523438,67.8747787475586,10.888915061950684,176.34356689453125,30.226261138916016,96.83978271484375,66.10797882080078,109.31520080566406,161.09567260742188,91.2524185180664,65.23082733154297,99.71058654785156,28.27726936340332,37.46358871459961,45.39836502075195,17.03860855102539,12.504166603088379,37.50985336303711
2015-08-10,45.48587417602539,34.695289611816406,26.07382583618164,50.46703338623047,179.4083709716797,92.9205322265625,106.94364929199219,103.7271957397461,68.83629608154297,11.028587341308594,178.56532287597656,30.59523582458496,98.31945037841797,66.75527954101562,110.84230041503906,163.14027404785156,92.390625,66.12235260009766,100.82785034179688,28.759347915649414,37.94504165649414,46.8477668762207,17.200881958007812,12.649545669555664,38.097599029541016
2015-08-11,44.802207946777344,33.83660888671875,25.816335678100586,50.12024688720703,177.7906951904297,91.98960876464844,106.02644348144531,102.39771270751953,68.26619720458984,10.95447826385498,176.95408630371094,30.113311767578125,96.71343231201172,66.2241439819336,109.92432403564453,161.6448516845703,91.55818939208984,65.54363250732422,99.94867706298828,28.141674041748047,37.29808807373047,46.935821533203125,17.045368194580078,12.508523941040039,37.52764892578125
2015-08-12,44.528743743896484,33.37246322631836,25.7558536529541,49.9511833190918,177.9600830078125,92.0717544555664,105.82359313964844,102.7509994506836,68.38530731201172,10.988683700561523,177.16610717773438,29.917524337768555,97.18263244628906,66.23246765136719,110.1044921875,161.78848266601562,91.651611328125,65.56709289550781,100.04940795898438,27.70478057861328,37.05734634399414,47.7891960144043,16.889860153198242,12.553788185119629,37.696861267089844
2015-08-13,44.536338806152344,33.341514587402344,25.752403259277344,49.87315368652344,177.78221130371094,92.0717544555664,105.47081756591797,102.58368682861328,68.27469635009766,10.95447826385498,176.94564819335938,29.90999984741211,96.93901062011719,66.15776062011719,110.0701904296875,161.61102294921875,91.52420806884766,65.47325134277344,99.99449157714844,27.652057647705078,36.95956039428711,47.064491271972656,16.950716018676758,12.562490463256836,37.58998489379883
2015-08-14,44.61231231689453,33.42662048339844,25.920026779174805,50.31964874267578,178.39202880859375,92.38204956054688,106.14989471435547,102.7417221069336,68.54696655273438,10.994383811950684,177.59011840820312,29.96270179748535,97.45333099365234,66.4150161743164,110.56777954101562,162.2362823486328,91.87248992919922,65.76264953613281,100.34248352050781,27.73491859436035,36.997169494628906,46.96290588378906,17.072416305541992,12.57816219329834,37.777000427246094
